signal_id,created_at,signal_date,market,symbol,action,score,price_at_signal,evaluated_at,evaluation_price,price_change_pct,result,is_correct
2026-06-11|DXY,2026-06-11T12:27:37+02:00,2026-06-11,DXY,DX-Y.NYB,BUY,94,100.151,2026-06-12T14:34:32+02:00,99.843,-0.3075,WRONG,False
2026-06-11|VIX,2026-06-11T12:27:37+02:00,2026-06-11,VIX,^VIX,BUY,77,20.69,2026-06-12T14:34:32+02:00,19.04,-7.9749,WRONG,False
2026-06-11|USD/JPY,2026-06-11T12:27:37+02:00,2026-06-11,USD/JPY,JPY=X,BUY,90,160.548,2026-06-12T14:34:32+02:00,160.256,-0.1819,WRONG,False
2026-06-11|Bitcoin,2026-06-11T12:27:37+02:00,2026-06-11,Bitcoin,BTC-USD,BUY,76,62759.2305,2026-06-12T14:34:32+02:00,63468.7188,1.1305,CORRECT,True
2026-06-11|Gold,2026-06-11T12:27:37+02:00,2026-06-11,Gold,GC=F,WAIT,25,4110.0,2026-06-12T14:34:32+02:00,4224.5,2.7859,WRONG,False
2026-06-11|Silver,2026-06-11T12:27:37+02:00,2026-06-11,Silver,SI=F,SELL,0,64.05,2026-06-12T14:34:32+02:00,66.905,4.4575,WRONG,False
2026-06-11|Oil,2026-06-11T12:27:37+02:00,2026-06-11,Oil,CL=F,SELL,0,89.33,2026-06-12T14:34:32+02:00,85.15,-4.6793,CORRECT,True
2026-06-11|Copper,2026-06-11T12:27:37+02:00,2026-06-11,Copper,HG=F,SELL,0,6.204,2026-06-12T14:34:32+02:00,6.38,2.8369,WRONG,False
2026-06-12|DXY,2026-06-12T08:48:10+02:00,2026-06-12,DXY,DX-Y.NYB,WAIT,50,99.814,2026-06-13T19:21:09+02:00,99.75,-0.0641,CORRECT,True
2026-06-12|VIX,2026-06-12T08:48:10+02:00,2026-06-12,VIX,^VIX,WAIT,65,19.44,2026-06-13T19:21:09+02:00,17.68,-9.0535,WRONG,False
2026-06-12|USD/JPY,2026-06-12T08:48:10+02:00,2026-06-12,USD/JPY,JPY=X,WAIT,50,160.287,2026-06-13T19:21:09+02:00,160.185,-0.0636,CORRECT,True
2026-06-12|Bitcoin,2026-06-12T08:48:10+02:00,2026-06-12,Bitcoin,BTC-USD,WAIT,28,62912.0898,2026-06-13T19:21:09+02:00,64001.0195,1.7309,WRONG,False
2026-06-12|Gold,2026-06-12T08:48:10+02:00,2026-06-12,Gold,GC=F,WAIT,55,4199.1001,2026-06-13T19:21:09+02:00,4215.0,0.3787,CORRECT,True
2026-06-12|Silver,2026-06-12T08:48:10+02:00,2026-06-12,Silver,SI=F,WAIT,55,66.575,2026-06-13T19:21:09+02:00,67.859,1.9287,WRONG,False
2026-06-12|Oil,2026-06-12T08:48:10+02:00,2026-06-12,Oil,CL=F,SELL,0,85.8,2026-06-13T19:21:09+02:00,84.88,-1.0723,CORRECT,True
2026-06-12|Copper,2026-06-12T08:48:10+02:00,2026-06-12,Copper,HG=F,BUY,93,6.389,2026-06-13T19:21:09+02:00,6.4305,0.6496,CORRECT,True
2026-06-13|DXY,2026-06-13T05:39:43+02:00,2026-06-13,DXY,DX-Y.NYB,WAIT,50,99.807,2026-06-14T08:39:31+02:00,99.75,-0.0571,CORRECT,True
2026-06-13|VIX,2026-06-13T05:39:43+02:00,2026-06-13,VIX,^VIX,WAIT,35,17.68,2026-06-14T08:39:31+02:00,17.68,0.0,CORRECT,True
2026-06-13|USD/JPY,2026-06-13T05:39:43+02:00,2026-06-13,USD/JPY,JPY=X,WAIT,70,160.185,2026-06-14T08:39:31+02:00,160.185,0.0,CORRECT,True
2026-06-13|Bitcoin,2026-06-13T05:39:43+02:00,2026-06-13,Bitcoin,BTC-USD,WAIT,28,63469.5508,2026-06-14T08:39:31+02:00,64227.6211,1.1944,WRONG,False
2026-06-13|Gold,2026-06-13T05:39:43+02:00,2026-06-13,Gold,GC=F,WAIT,55,4239.8999,2026-06-14T08:39:31+02:00,4238.7998,-0.0259,CORRECT,True
2026-06-13|Silver,2026-06-13T05:39:43+02:00,2026-06-13,Silver,SI=F,WAIT,63,68.12,2026-06-14T08:39:31+02:00,67.974,-0.2143,CORRECT,True
2026-06-13|Oil,2026-06-13T05:39:43+02:00,2026-06-13,Oil,CL=F,SELL,0,84.29,2026-06-14T08:39:31+02:00,84.88,0.7,WRONG,False
2026-06-13|Copper,2026-06-13T05:39:43+02:00,2026-06-13,Copper,HG=F,BUY,93,6.474,2026-06-14T08:39:31+02:00,6.445,-0.4479,WRONG,False
2026-06-14|DXY,2026-06-14T08:39:31+02:00,2026-06-14,DXY,DX-Y.NYB,WAIT,50,99.75,2026-06-16T06:20:12+02:00,99.725,-0.0251,CORRECT,True
